row_id,label,n_chars,n_words,n_subwords
axg-00000,fake,77,18,26
axg-00001,fake,41,9,14
axg-00002,fake,46,10,16
axg-00003,fake,90,18,29
axg-00004,fake,85,18,27
axg-00005,fake,67,15,19
axg-00006,fake,60,12,20
axg-00007,fake,31,6,12
axg-00008,fake,108,22,34
axg-00009,fake,78,15,18
axg-00010,fake,63,14,16
axg-00011,fake,51,10,13
axg-00012,fake,53,10,14
axg-00013,fake,79,17,19
axg-00014,fake,47,9,16
axg-00015,fake,80,19,26
axg-00016,fake,36,7,9
axg-00017,fake,53,12,18
axg-00018,fake,57,11,16
axg-00019,fake,65,13,21
axg-00020,fake,80,21,26
axg-00021,fake,40,8,15
axg-00022,fake,52,12,21
axg-00023,fake,64,12,22
axg-00024,fake,56,11,21
axg-00025,fake,56,11,22
axg-00026,fake,65,14,20
axg-00027,fake,47,9,15
axg-00028,fake,83,19,23
axg-00029,fake,41,10,12
axg-00030,fake,67,15,19
axg-00031,fake,48,11,15
axg-00032,fake,123,23,32
axg-00033,fake,114,21,37
axg-00034,fake,81,18,24
axg-00035,fake,94,19,27
axg-00036,fake,65,15,20
axg-00037,fake,77,16,25
axg-00038,fake,64,12,21
axg-00039,fake,46,10,12
axg-00040,fake,45,11,19
axg-00041,fake,102,23,32
axg-00042,fake,81,16,26
axg-00043,fake,104,23,30
axg-00044,fake,164,35,45
axg-00045,fake,55,14,17
axg-00046,fake,66,14,21
axg-00047,fake,72,15,20
axg-00048,fake,75,17,23
axg-00049,fake,106,22,33
axg-00050,fake,51,11,13
axg-00051,fake,44,10,14
axg-00052,fake,140,30,42
axg-00053,fake,32,4,14
axg-00054,fake,97,21,32
axg-00055,fake,33,6,9
axg-00056,fake,38,8,12
axg-00057,fake,120,26,39
axg-00058,fake,72,15,19
axg-00059,fake,138,29,41
axg-00060,fake,70,14,19
axg-00061,fake,44,11,14
axg-00062,fake,69,13,27
axg-00063,fake,58,12,18
axg-00064,fake,95,21,29
axg-00065,fake,73,16,26
axg-00066,fake,60,12,18
axg-00067,fake,55,13,18
axg-00068,fake,38,8,10
