row_id,label,n_chars,n_words,n_subwords
ntf-00000,real,927,208,247
ntf-00001,real,837,182,232
ntf-00002,real,881,197,250
ntf-00003,real,455,99,124
ntf-00004,real,684,132,187
ntf-00005,real,464,93,121
ntf-00006,real,201,40,55
ntf-00007,real,572,121,156
ntf-00008,real,256,54,72
ntf-00009,real,629,133,191
ntf-00010,real,345,75,98
ntf-00011,real,609,119,161
ntf-00012,real,1008,210,247
ntf-00013,real,705,153,188
ntf-00014,real,937,215,264
ntf-00015,real,962,187,270
ntf-00016,real,346,60,96
ntf-00017,real,571,120,144
ntf-00018,real,209,45,63
ntf-00019,real,461,96,123
ntf-00020,real,836,161,236
ntf-00021,real,923,188,249
ntf-00022,real,583,122,163
ntf-00023,real,250,54,69
ntf-00024,real,802,180,230
ntf-00025,real,690,134,179
ntf-00026,real,338,72,87
ntf-00027,real,888,188,255
ntf-00028,real,639,119,176
ntf-00029,real,1155,228,325
ntf-00030,real,1092,240,299
ntf-00031,real,1133,226,302
ntf-00032,real,306,61,86
ntf-00033,real,659,149,171
ntf-00034,real,1246,241,330
ntf-00035,real,1079,225,299
ntf-00036,real,564,123,147
ntf-00037,real,544,107,164
ntf-00038,real,1392,260,396
ntf-00039,real,355,72,94
ntf-00040,real,1022,202,267
ntf-00041,real,807,157,203
ntf-00042,real,327,72,90
ntf-00043,real,1162,233,333
ntf-00044,real,733,153,178
ntf-00045,real,1662,314,437
ntf-00046,real,668,142,177
ntf-00047,real,655,150,191
ntf-00048,real,366,86,104
ntf-00049,real,891,191,234
ntf-00050,real,582,114,148
ntf-00051,real,737,150,222
ntf-00052,real,803,152,210
ntf-00053,real,1087,202,299
ntf-00054,real,650,137,180
ntf-00055,real,401,85,109
ntf-00056,real,1207,247,295
ntf-00057,real,430,94,120
ntf-00058,real,932,195,244
ntf-00059,real,353,77,97
ntf-00060,real,1316,280,333
ntf-00061,real,798,172,222
ntf-00062,real,1158,245,305
ntf-00063,real,1853,423,531
ntf-00064,real,696,136,197
ntf-00065,real,703,139,202
ntf-00066,real,755,165,203
ntf-00067,real,711,143,201
ntf-00068,real,782,166,211
ntf-00069,real,1036,226,292
ntf-00070,real,904,174,252
ntf-00071,real,371,74,104
ntf-00072,real,750,177,206
ntf-00073,real,907,193,241
ntf-00074,real,833,180,226
ntf-00075,real,604,126,171
